epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,102.933,0.3992,0.51186,0.90171,0.87268,0.54762,0.61101,0.47164,0.97087,2.17226,1.7255,0.000198018,0.000198018,0.000198018
77,103.965,0.47672,0.59652,0.89295,0.87268,0.54762,0.61101,0.47164,0.97087,2.17226,1.7255,0.000190404,0.000190404,0.000190404
78,105.042,0.45001,0.71873,0.89161,0.90612,0.57143,0.73144,0.52435,0.8832,2.14508,1.65024,0.000182791,0.000182791,0.000182791
79,106.103,0.46748,0.61151,0.92701,0.90612,0.57143,0.73144,0.52435,0.8832,2.14508,1.65024,0.000175178,0.000175178,0.000175178
80,109.723,0.4455,0.53745,0.92462,0.91651,0.57143,0.78312,0.52668,0.83603,1.95274,1.57172,0.000167565,0.000167565,0.000167565
81,110.793,0.47077,0.60436,0.90088,0.91651,0.57143,0.78312,0.52668,0.83603,1.95274,1.57172,0.000159952,0.000159952,0.000159952
82,112.174,0.38753,0.51304,0.86402,0.96421,0.56485,0.86322,0.52247,0.86151,1.80798,1.6537,0.000152339,0.000152339,0.000152339
83,113.573,0.39062,0.51569,0.88929,0.96421,0.56485,0.86322,0.52247,0.86151,1.80798,1.6537,0.000144726,0.000144726,0.000144726
84,115.073,0.41075,0.51965,0.89164,0.96348,0.57143,0.725,0.51861,0.87272,1.86716,1.68975,0.000137113,0.000137113,0.000137113
85,116.334,0.36451,0.47706,0.86514,0.96348,0.57143,0.725,0.51861,0.87272,1.86716,1.68975,0.0001295,0.0001295,0.0001295
86,117.412,0.47629,0.59327,0.95122,0.78644,0.57143,0.72722,0.52264,0.78333,1.85184,1.57134,0.000121887,0.000121887,0.000121887
87,118.548,0.40572,0.51691,0.87699,0.78644,0.57143,0.72722,0.52264,0.78333,1.85184,1.57134,0.000114273,0.000114273,0.000114273
88,120.098,0.41437,0.47618,0.88265,0.7163,0.67857,0.73056,0.52422,0.79449,1.73157,1.54187,0.00010666,0.00010666,0.00010666
89,121.485,0.3697,0.43676,0.86051,0.7163,0.67857,0.73056,0.52422,0.79449,1.73157,1.54187,9.90472e-05,9.90472e-05,9.90472e-05
90,122.603,0.43361,0.50775,0.88139,0.74151,0.7238,0.75249,0.55361,0.79516,1.74222,1.53034,9.14341e-05,9.14341e-05,9.14341e-05
91,124.746,0.34482,0.53495,0.86357,0.74151,0.7238,0.75249,0.55361,0.79516,1.74222,1.53034,8.3821e-05,8.3821e-05,8.3821e-05
92,127.275,0.29785,0.45638,0.87739,0.72358,0.73693,0.75293,0.54922,0.76199,1.68815,1.48907,7.62079e-05,7.62079e-05,7.62079e-05
93,128.742,0.31872,0.44044,0.84364,0.72358,0.73693,0.75293,0.54922,0.76199,1.68815,1.48907,6.85948e-05,6.85948e-05,6.85948e-05
94,132.2,0.30982,0.49371,0.88451,0.54698,0.74061,0.7577,0.57446,0.70152,1.65047,1.40789,6.09817e-05,6.09817e-05,6.09817e-05
95,133.365,0.30934,0.43233,0.8706,0.54698,0.74061,0.7577,0.57446,0.70152,1.65047,1.40789,5.33686e-05,5.33686e-05,5.33686e-05
96,135.405,0.3388,0.5631,0.90478,0.74087,0.59524,0.7575,0.57012,0.66793,1.63376,1.36939,4.57555e-05,4.57555e-05,4.57555e-05
97,136.418,0.28866,0.41207,0.86317,0.74087,0.59524,0.7575,0.57012,0.66793,1.63376,1.36939,3.81424e-05,3.81424e-05,3.81424e-05
98,137.521,0.29921,0.44266,0.86484,0.72753,0.59524,0.75417,0.57686,0.64548,1.61889,1.33422,3.05293e-05,3.05293e-05,3.05293e-05
99,138.717,0.26673,0.42241,0.80675,0.72753,0.59524,0.75417,0.57686,0.64548,1.61889,1.33422,2.29162e-05,2.29162e-05,2.29162e-05
100,142.035,0.30376,0.42002,0.81431,0.71708,0.59524,0.7495,0.58629,0.62782,1.63354,1.29006,1.53031e-05,1.53031e-05,1.53031e-05
